appid,best_community_idx,best_community_id,similarity
3029830,36,36,0.5401923656463623
317360,2,2,0.5400113463401794
2814610,27,27,0.5395417809486389
1025140,2,2,0.5394068956375122
11550,7,7,0.5391768217086792
1859470,2,2,0.5391296744346619
461880,2,2,0.5391180515289307
296790,2,2,0.5388070344924927
2398180,2,2,0.538112998008728
3475100,11,11,0.5375961065292358
262100,2,2,0.5375706553459167
828580,23,23,0.5372861623764038
3392420,2,2,0.5372505784034729
620220,27,27,0.5372079610824585
783180,36,36,0.5370804071426392
614260,2,2,0.537055253982544
395200,2,2,0.5370141863822937
2435900,2,2,0.5369666218757629
1239020,36,36,0.5368378162384033
791500,7,7,0.5368263125419617
1402480,27,27,0.5368177890777588
2423470,2,2,0.5365698337554932
338300,2,2,0.5363951921463013
3399040,2,2,0.5363759994506836
1325270,2,2,0.536354660987854
2169110,23,23,0.5361599326133728
1350840,36,36,0.5360950231552124
3275600,23,23,0.5360903143882751
255070,23,23,0.5360775589942932
824000,34,34,0.5357340574264526
1225070,2,2,0.5356827974319458
5210,23,23,0.5355195999145508
237700,23,23,0.5355195999145508
22700,23,23,0.5355195999145508
1161640,36,36,0.5354607701301575
746710,2,2,0.5354282259941101
3508710,11,11,0.5353468656539917
3083300,11,11,0.5351062417030334
1880380,23,23,0.535061776638031
1688320,36,36,0.5350110530853271
2795000,7,7,0.5346706509590149
1138840,23,23,0.5344842672348022
398850,2,2,0.5343254804611206
673850,2,2,0.5341744422912598
1707900,2,2,0.5337129235267639
17500,2,2,0.5335774421691895
1265780,23,23,0.5333909392356873
2648050,2,2,0.5331828594207764
1843540,2,2,0.5328744649887085
1938050,36,36,0.5327750444412231
609920,2,2,0.5326229929924011
3169580,36,36,0.5324637293815613
955870,11,11,0.5323745608329773
23380,27,27,0.5323711633682251
2914470,36,36,0.5323083996772766
1067540,2,2,0.5322452187538147
2612700,11,11,0.5320785045623779
3092450,23,23,0.5316756963729858
2234150,23,23,0.5315420627593994
26170,23,23,0.5314928293228149
1788850,36,36,0.5314705967903137
1135260,2,2,0.5313289761543274
521200,27,27,0.531325101852417
1617090,2,2,0.5310567617416382
423950,1,1,0.5303469896316528
3487060,2,2,0.5303136110305786
2994910,2,2,0.5302849411964417
370280,2,2,0.529928982257843
464400,2,2,0.5298553109169006
1926620,2,2,0.5297470092773438
1272030,2,2,0.5295047760009766
3175720,36,36,0.5294492244720459
2231770,1,1,0.5293770432472229
467210,2,2,0.5292835235595703
513330,21,21,0.5290901064872742
2154230,11,11,0.5290883779525757
959150,21,21,0.5289866328239441
699850,21,21,0.5288295149803162
776030,36,36,0.5287166237831116
32660,32,32,0.528519332408905
1098270,2,2,0.5284993052482605
370060,11,11,0.5281177759170532
422920,21,21,0.5279824137687683
2801930,11,11,0.5278966426849365
1003090,21,21,0.5275671482086182
1774100,2,2,0.5270515084266663
1895860,36,36,0.526854932308197
1454160,23,23,0.5267801284790039
102600,1,1,0.5266580581665039
2095890,2,2,0.5264080166816711
1058060,36,36,0.5263686180114746
937940,32,32,0.5263400077819824
218510,21,21,0.5262916088104248
2993680,27,27,0.5259659290313721
1290280,36,36,0.525895893573761
1151050,2,2,0.5254543423652649
2371130,2,2,0.5252156257629395
339120,2,2,0.5251907706260681
2276980,21,21,0.5251862406730652
1245430,2,2,0.5251666307449341
2400160,7,7,0.5246850848197937
3133180,2,2,0.5245679616928101
665370,2,2,0.5242040157318115
3980,21,21,0.5241543650627136
312720,7,7,0.5240898728370667
1781030,36,36,0.5240713953971863
390470,2,2,0.5240707993507385
658700,23,23,0.5238766074180603
40350,2,2,0.5233983397483826
864060,2,2,0.5232332348823547
2348680,36,36,0.5232192873954773
234350,7,7,0.5231763124465942
1096550,2,2,0.5227035284042358
1058710,21,21,0.5225067734718323
1089790,2,2,0.5224753618240356
2832320,21,21,0.5222679972648621
315630,36,36,0.522205114364624
1503790,27,27,0.5220469236373901
1407870,2,2,0.5218107104301453
809310,21,21,0.5216410756111145
2720290,2,2,0.5215863585472107
207790,21,21,0.5212661027908325
1696670,2,2,0.5208125114440918
1335530,2,2,0.5207628607749939
247950,34,34,0.5201430320739746
2004640,27,27,0.5199670195579529
333320,36,36,0.5198798775672913
2394650,27,27,0.5197450518608093
2296100,2,2,0.5196419358253479
1269640,2,2,0.5194584727287292
1582650,2,2,0.5194098949432373
2783610,27,27,0.5191380381584167
1279380,27,27,0.518753170967102
454350,34,34,0.5187282562255859
1324270,21,21,0.5185313820838928
556260,2,2,0.5183535218238831
1004270,36,36,0.518268346786499
1402020,2,2,0.5182313323020935
365160,2,2,0.5182101726531982
3222970,2,2,0.5180814266204834
